Region,ShortName,Label,Lat,Lon,County
Alaska Region,Alaska_Mtn_Rescue_Group,Alaska Mountain Rescue Group,61.18558908,-149.8832688,Anchorage County - Alaska
Rocky Mountain Region,Albuquerque_Mtn_Rescue_Council,Albuquerque Mountain Rescue Council,35.09968377,-106.5171071,Bernalillo County - New Mexico
Appalachian Region,Allegheny_Mtn_Rescue_Group,Allegheny Mountain Rescue Group,40.43686021,-79.98657581,Allegheny County - Pennsylvania
Rocky Mountain Region,Alpine_Rescue_Team,Alpine Rescue Team,39.63845045,-105.3497562,Jefferson County - Colorado
California Region,Altadena_Mountain_Rescue_Team,Altadena Mountain Rescue Team,34.189741,-118.132047,Los Angeles County - California
Appalachian Region,Appalachian_Mtn_Rescue_Team,Appalachian Mountain Rescue Team,35.589568,-82.562953,Buncombe County - North Carolina
Rocky Mountain Region,Atalaya_SAR,Atalaya Search and Rescue Team,35.69349395,-105.9489977,Santa Fe County - New Mexico
California Region,Bay_Area_Mtn_Rescue_Team,Bay Area Mountain Rescue Team,37.4460215,-122.1593399,Santa Clara County - California
Washington Region,Bellingham_Mtn_Rescue_Council,Bellingham Mountain Rescue Council,48.74350941,-122.4885392,Whatcom County - Washington
Appalachian Region,Blue_Knob_Ski_Patrol,Blue Knob Ski Patrol,40.28374025,-78.495667,Blair County - Pennsylvania
Inter-Mountain Region,Cache_County_Sheriffs_SAR,Cache County Sheriff's Search & Rescue,41.73537202,-111.8409146,Cache County - Utah
Desert Region,Central_Arizona_MRA,Central Arizona Mountain Rescue Association,33.542725,-112.084119,Maricopa County - Arizona
Washington Region,Central_Washington_Mtn_Rescue,Central Washington Mountain Rescue,46.60145645,-120.5024459,Yakima County - Washington
Rocky Mountain Region,Chaffee_County_SAR_North,Chaffee County SAR North,38.85278221,-106.165279,Chaffee County - Colorado
Appalachian Region,Chattanooga-Hamilton_Co_Resc,Chattanooga-Hamilton County Rescue Service,35.02321098,-85.19705062,Hamilton County - Tennessee
California Region,China_Lake_Mtn_Rescue_Group,China Lake Mountain Rescue Group,35.62791043,-117.6698064,Kern County - California
Desert Region,Coconino_Co_Sheriffs_SAR_Unit,Coconino County Sheriff's Search & Rescue,35.18881351,-111.6419742,Coconino County - Arizona
California Region,Contra_Costa_Co_Sheriffs_SAR,Contra Costa County Sheriff's Search and Rescue,37.98980339,-122.0873125,Contra Costa County - California
Oregon Region,Corvallis_Mtn_Rescue_Unit,Corvallis Mountain Rescue Unit,44.56196736,-123.2608596,Benton County - Oregon
Rocky Mountain Region,Crested_Butte_SAR,Crested Butte Search and Rescue,38.873494,-106.977746,Gunnison County - Colorado
Inter-Mountain Region,Davis_County_Sheriffs_SAR,Davis County Sheriff's Search & Rescue,40.98635371,-111.8995479,Davis County - Utah
Oregon Region,Deschutes_County_SAR,Deschutes County Search & Rescue,44.10060122,-121.3048173,Deschutes County - Oregon
Rocky Mountain Region,Douglas_County_SAR_CO,Douglas County Search & Rescue Colorado,39.36739162,-104.8380493,Douglas County - Colorado
California Region,Douglas_County_SAR_Nevada,Douglas County Search & Rescue Nevada,38.9996825,-119.7585071,Douglas County - Nevada
Rocky Mountain Region,El_Paso_County_SAR,El Paso County Search & Rescue,38.88858445,-104.8306752,El Paso County - Colorado
Oregon Region,Eugene_Mtn_Rescue,Eugene Mountain Rescue,44.03845051,-123.0802674,Lane County - Oregon
Washington Region,Everett_Mtn_Rescue_Unit,Everett Mountain Rescue Unit,47.94636959,-122.0785778,Snohomish County - Washington
California Region,Fillmore_SAR,Fillmore Search and Rescue,34.39896388,-118.9183441,Ventura County - California
Rocky Mountain Region,Fremont_SAR,Fremont Search and Rescue,38.44700967,-105.1831896,Fremont County - Colorado
California Region,Fresno_Co_Sheriffs_SAR_Mtneering,Fresno County Sheriff's Search & Rescue Mountaineering Team,36.75777263,-119.7799584,Fresno County - California
Rocky Mountain Region,Garfield_County_SAR,Garfield County Search and Rescue,39.52427594,-107.7551848,Garfield County - Colorado
Rocky Mountain Region,Grand_County_SAR,Grand County Search and Rescue,39.88152302,-105.7553589,Grand County - Colorado
Oregon Region,Hood_River_Crag_Rats,Hood River Crag Rats,45.698866,-121.51455,Hood River County - Oregon
Inter-Mountain Region,Idaho_Mtn_SAR,Idaho Mountain Search & Rescue,43.57930704,-116.1981727,Ada County - Idaho
Washington Region,Inland_Northwest_SAR,Inland Northwest Search & Rescue,47.59134401,-117.4148219,Spokane County - Washington
California Region,Inyo_Co_Sheriffs_Posse_SAR,Inyo County Sheriff's Posse Search & Rescue,37.38066393,-118.4224092,Inyo County - California
Alaska Region,Juneau_Mtn_Rescue,Juneau Mountain Rescue,58.30175678,-134.4204761,Juneau Borough - Alaska
Appalachian Region,Knoxville_Vol_Emerg_Rescue,Knoxville Volunteer Emergency Rescue Squad,36.01460979,-83.85531573,Knox County - Tennessee
Rocky Mountain Region,Larimer_County_SAR,Larimer County Search & Rescue,40.60534792,-105.0964533,Larimer County - Colorado
